in s,C2 in V
-5.969184E-04,4.15039E-04
-5.969088E-04,1.22070E-04
-5.968992E-04,-2.68555E-04
-5.968896E-04,-5.61523E-04
-5.968800E-04,-1.39160E-03
-5.968704E-04,-1.00098E-03
-5.968608E-04,-7.08008E-04
-5.968512E-04,1.22070E-04
-5.968416E-04,-7.32422E-05
-5.968320E-04,1.22070E-04
-5.968224E-04,-4.63867E-04
-5.968128E-04,-2.68555E-04
-5.968032E-04,-6.10352E-04
-5.967936E-04,-3.66211E-04
-5.967840E-04,-1.70898E-04
-5.967744E-04,-5.12695E-04
-5.967648E-04,-5.61523E-04
-5.967552E-04,-8.54492E-04
-5.967456E-04,-8.54492E-04
-5.967360E-04,-3.66211E-04
-5.967264E-04,-1.70898E-04
-5.967168E-04,2.68555E-04
-5.967072E-04,-1.70898E-04
-5.966976E-04,-4.15039E-04
-5.966880E-04,-1.04980E-03
-5.966784E-04,-5.12695E-04
-5.966688E-04,-7.08008E-04
-5.966592E-04,1.22070E-04
-5.966496E-04,-2.19727E-04
-5.966400E-04,-1.22070E-04
-5.966304E-04,-1.00098E-03
-5.966208E-04,-1.19629E-03
-5.966112E-04,-1.29395E-03
-5.966016E-04,-7.08008E-04
-5.965920E-04,-1.70898E-04
-5.965824E-04,1.22070E-04
-5.965728E-04,7.32422E-05
-5.965632E-04,-4.63867E-04
-5.965536E-04,-8.05664E-04
-5.965440E-04,-7.56836E-04
-5.965344E-04,-8.05664E-04
-5.965248E-04,-4.15039E-04
-5.965152E-04,-2.19727E-04
-5.965056E-04,-3.66211E-04
-5.964960E-04,-5.12695E-04
-5.964864E-04,-3.17383E-04
-5.964768E-04,-6.59180E-04
-5.964672E-04,-2.68555E-04
-5.964576E-04,-4.63867E-04
-5.964480E-04,-2.19727E-04
-5.964384E-04,-4.15039E-04
-5.964288E-04,-4.15039E-04
-5.964192E-04,-3.66211E-04
-5.964096E-04,2.44141E-05
-5.964000E-04,7.32422E-05
-5.963904E-04,-1.70898E-04
-5.963808E-04,-6.59180E-04
-5.963712E-04,-9.52148E-04
-5.963616E-04,-1.19629E-03
-5.963520E-04,-1.04980E-03
-5.963424E-04,-5.12695E-04
-5.963328E-04,-1.70898E-04
-5.963232E-04,-7.32422E-05
-5.963136E-04,-4.15039E-04
-5.963040E-04,-7.08008E-04
-5.962944E-04,-1.04980E-03
-5.962848E-04,-1.09863E-03
-5.962752E-04,-6.10352E-04
-5.962656E-04,-7.56836E-04
-5.962560E-04,-5.12695E-04
-5.962464E-04,-7.56836E-04
-5.962368E-04,-6.59180E-04
-5.962272E-04,-5.12695E-04
-5.962176E-04,-1.70898E-04
-5.962080E-04,1.70898E-04
-5.961984E-04,7.32422E-05
-5.961888E-04,-4.15039E-04
-5.961792E-04,-7.56836E-04
-5.961696E-04,-1.09863E-03
-5.961600E-04,-1.04980E-03
-5.961504E-04,-9.52148E-04
-5.961408E-04,-2.68555E-04
-5.961312E-04,-2.19727E-04
-5.961216E-04,-2.44141E-05
-5.961120E-04,-4.63867E-04
-5.961024E-04,-7.08008E-04
-5.960928E-04,-7.08008E-04
-5.960832E-04,-9.03320E-04
-5.960736E-04,-9.03320E-04
-5.960640E-04,-9.03320E-04
-5.960544E-04,-9.03320E-04
-5.960448E-04,-6.59180E-04
-5.960352E-04,-6.59180E-04
-5.960256E-04,1.70898E-04
-5.960160E-04,-1.70898E-04
-5.960064E-04,-4.63867E-04
-5.959968E-04,-8.05664E-04
-5.959872E-04,-1.24512E-03
-5.959776E-04,-1.48926E-03
-5.959680E-04,-7.56836E-04
-5.959584E-04,-7.32422E-05
-5.959488E-04,4.15039E-04
-5.959392E-04,5.61523E-04
-5.959296E-04,1.70898E-04
-5.959200E-04,-8.54492E-04
-5.959104E-04,-1.29395E-03
-5.959008E-04,-1.58691E-03
-5.958912E-04,-9.03320E-04
-5.958816E-04,-7.08008E-04
-5.958720E-04,-1.70898E-04
-5.958624E-04,-2.68555E-04
-5.958528E-04,1.22070E-04
-5.958432E-04,-7.56836E-04
-5.958336E-04,-5.12695E-04
-5.958240E-04,-8.54492E-04
-5.958144E-04,-1.00098E-03
-5.958048E-04,-1.09863E-03
-5.957952E-04,-9.52148E-04
-5.957856E-04,-7.56836E-04
-5.957760E-04,-2.44141E-05
-5.957664E-04,2.44141E-05
-5.957568E-04,7.32422E-05
-5.957472E-04,-2.19727E-04
-5.957376E-04,-7.08008E-04
-5.957280E-04,-1.29395E-03
-5.957184E-04,-1.19629E-03
-5.957088E-04,-1.19629E-03
-5.956992E-04,-8.05664E-04
-5.956896E-04,-7.08008E-04
-5.956800E-04,-7.56836E-04
-5.956704E-04,-1.00098E-03
-5.956608E-04,-1.09863E-03
-5.956512E-04,-1.00098E-03
-5.956416E-04,-2.19727E-04
-5.956320E-04,-2.44141E-05
-5.956224E-04,1.70898E-04
-5.956128E-04,-2.68555E-04
-5.956032E-04,-8.54492E-04
-5.955936E-04,-1.39160E-03
-5.955840E-04,-1.29395E-03
-5.955744E-04,-1.14746E-03
-5.955648E-04,-7.08008E-04
-5.955552E-04,-6.59180E-04
-5.955456E-04,-4.15039E-04
-5.955360E-04,-7.56836E-04
-5.955264E-04,-7.08008E-04
-5.955168E-04,-1.04980E-03
-5.955072E-04,-6.59180E-04
-5.954976E-04,-8.05664E-04
-5.954880E-04,-7.08008E-04
-5.954784E-04,-9.52148E-04
-5.954688E-04,-9.52148E-04
-5.954592E-04,-1.14746E-03
-5.954496E-04,-3.66211E-04
-5.954400E-04,-4.63867E-04
-5.954304E-04,-2.19727E-04
-5.954208E-04,-9.03320E-04
-5.954112E-04,-1.34277E-03
-5.954016E-04,-1.63574E-03
-5.953920E-04,-1.24512E-03
-5.953824E-04,-5.12695E-04
-5.953728E-04,2.44141E-05
-5.953632E-04,2.68555E-04
-5.953536E-04,1.22070E-04
-5.953440E-04,-5.12695E-04
-5.953344E-04,-1.24512E-03
-5.953248E-04,-1.68457E-03
-5.953152E-04,-1.14746E-03
-5.953056E-04,-9.03320E-04
-5.952960E-04,-6.59180E-04
-5.952864E-04,-6.59180E-04
-5.952768E-04,-8.05664E-04
-5.952672E-04,-7.56836E-04
-5.952576E-04,-3.66211E-04
-5.952480E-04,-5.61523E-04
-5.952384E-04,-5.61523E-04
-5.952288E-04,-9.52148E-04
-5.952192E-04,-1.09863E-03
-5.952096E-04,-1.68457E-03
-5.952000E-04,-1.34277E-03
-5.951904E-04,-1.19629E-03
-5.951808E-04,-4.63867E-04
-5.951712E-04,-7.56836E-04
-5.951616E-04,-9.03320E-04
-5.951520E-04,-1.39160E-03
-5.951424E-04,-1.44043E-03
-5.951328E-04,-1.44043E-03
-5.951232E-04,-9.03320E-04
-5.951136E-04,-7.08008E-04
-5.951040E-04,-3.66211E-04
