in s,C1 in V
-1.1921084E-02,1.070786E+00
-1.1920900E-02,1.072006E+00
-1.1920716E-02,1.076889E+00
-1.1920532E-02,1.080399E+00
-1.1920348E-02,1.082840E+00
-1.1920164E-02,1.086349E+00
-1.1919980E-02,1.087112E+00
-1.1919796E-02,1.091385E+00
-1.1919612E-02,1.092911E+00
-1.1919428E-02,1.097488E+00
-1.1919244E-02,1.101151E+00
-1.1919060E-02,1.103439E+00
-1.1918876E-02,1.102371E+00
-1.1918692E-02,1.106796E+00
-1.1918508E-02,1.111526E+00
-1.1918324E-02,1.113510E+00
-1.1918140E-02,1.118851E+00
-1.1917956E-02,1.116714E+00
-1.1917772E-02,1.120071E+00
-1.1917588E-02,1.122818E+00
-1.1917404E-02,1.125107E+00
-1.1917220E-02,1.126022E+00
-1.1917036E-02,1.127853E+00
-1.1916852E-02,1.132584E+00
-1.1916668E-02,1.135635E+00
-1.1916484E-02,1.136093E+00
-1.1916300E-02,1.139450E+00
-1.1916116E-02,1.142197E+00
-1.1915932E-02,1.146927E+00
-1.1915748E-02,1.149063E+00
-1.1915564E-02,1.150589E+00
-1.1915380E-02,1.152267E+00
-1.1915196E-02,1.155472E+00
-1.1915012E-02,1.160507E+00
-1.1914828E-02,1.162643E+00
-1.1914644E-02,1.163712E+00
-1.1914460E-02,1.166763E+00
-1.1914276E-02,1.167221E+00
-1.1914092E-02,1.172714E+00
-1.1913908E-02,1.173630E+00
-1.1913724E-02,1.177139E+00
-1.1913540E-02,1.178665E+00
-1.1913356E-02,1.182327E+00
-1.1913172E-02,1.182785E+00
-1.1912988E-02,1.185684E+00
-1.1912804E-02,1.190872E+00
-1.1912620E-02,1.191330E+00
-1.1912436E-02,1.195145E+00
-1.1912252E-02,1.196976E+00
-1.1912068E-02,1.199417E+00
-1.1911884E-02,1.200485E+00
-1.1911700E-02,1.203690E+00
-1.1911516E-02,1.206894E+00
-1.1911332E-02,1.209946E+00
-1.1911148E-02,1.213455E+00
-1.1910964E-02,1.213150E+00
-1.1910780E-02,1.217270E+00
-1.1910596E-02,1.219101E+00
-1.1910412E-02,1.220627E+00
-1.1910228E-02,1.222610E+00
-1.1910044E-02,1.224747E+00
-1.1909860E-02,1.227646E+00
-1.1909676E-02,1.230240E+00
-1.1909492E-02,1.231613E+00
-1.1909308E-02,1.233749E+00
-1.1909124E-02,1.237106E+00
-1.1908940E-02,1.241226E+00
-1.1908756E-02,1.243515E+00
-1.1908572E-02,1.246872E+00
-1.1908388E-02,1.247482E+00
-1.1908204E-02,1.249161E+00
-1.1908020E-02,1.252365E+00
-1.1907836E-02,1.256790E+00
-1.1907652E-02,1.258774E+00
-1.1907468E-02,1.262589E+00
-1.1907284E-02,1.264420E+00
-1.1907100E-02,1.266556E+00
-1.1906916E-02,1.267471E+00
-1.1906732E-02,1.271896E+00
-1.1906548E-02,1.274185E+00
-1.1906364E-02,1.277847E+00
-1.1906180E-02,1.278610E+00
-1.1905996E-02,1.280136E+00
-1.1905812E-02,1.284866E+00
-1.1905628E-02,1.288071E+00
-1.1905444E-02,1.290359E+00
-1.1905260E-02,1.292191E+00
-1.1905076E-02,1.291275E+00
-1.1904892E-02,1.294632E+00
-1.1904708E-02,1.299362E+00
-1.1904524E-02,1.299362E+00
-1.1904340E-02,1.302719E+00
-1.1904156E-02,1.305771E+00
-1.1903972E-02,1.309738E+00
-1.1903788E-02,1.310959E+00
-1.1903604E-02,1.314011E+00
-1.1903420E-02,1.316299E+00
-1.1903236E-02,1.319656E+00
-1.1903052E-02,1.321030E+00
-1.1902868E-02,1.324844E+00
-1.1902684E-02,1.324692E+00
-1.1902500E-02,1.327591E+00
-1.1902316E-02,1.330338E+00
-1.1902132E-02,1.333694E+00
-1.1901948E-02,1.335068E+00
-1.1901764E-02,1.339188E+00
-1.1901580E-02,1.340714E+00
-1.1901396E-02,1.344070E+00
-1.1901212E-02,1.346054E+00
-1.1901028E-02,1.347580E+00
-1.1900844E-02,1.350937E+00
-1.1900660E-02,1.355667E+00
-1.1900476E-02,1.355820E+00
-1.1900292E-02,1.361160E+00
-1.1900108E-02,1.361923E+00
-1.1899924E-02,1.364365E+00
-1.1899740E-02,1.367416E+00
-1.1899556E-02,1.368179E+00
-1.1899372E-02,1.372299E+00
-1.1899188E-02,1.371994E+00
-1.1899004E-02,1.375961E+00
-1.1898820E-02,1.378403E+00
-1.1898636E-02,1.381302E+00
-1.1898452E-02,1.382523E+00
-1.1898268E-02,1.384964E+00
-1.1898084E-02,1.388779E+00
-1.1897900E-02,1.390152E+00
-1.1897716E-02,1.390305E+00
-1.1897532E-02,1.393509E+00
-1.1897348E-02,1.393814E+00
-1.1897164E-02,1.396866E+00
-1.1896980E-02,1.397934E+00
-1.1896796E-02,1.402206E+00
-1.1896612E-02,1.406784E+00
-1.1896428E-02,1.407089E+00
-1.1896244E-02,1.412430E+00
-1.1896060E-02,1.413193E+00
-1.1895876E-02,1.415176E+00
-1.1895692E-02,1.418381E+00
-1.1895508E-02,1.419449E+00
-1.1895324E-02,1.421738E+00
-1.1895140E-02,1.424789E+00
-1.1894956E-02,1.429062E+00
-1.1894772E-02,1.428909E+00
-1.1894588E-02,1.429672E+00
-1.1894404E-02,1.433334E+00
-1.1894220E-02,1.434402E+00
-1.1894036E-02,1.438065E+00
-1.1893852E-02,1.440506E+00
-1.1893668E-02,1.442642E+00
-1.1893484E-02,1.447067E+00
-1.1893300E-02,1.448898E+00
-1.1893116E-02,1.452713E+00
-1.1892932E-02,1.453476E+00
-1.1892748E-02,1.456375E+00
-1.1892564E-02,1.458969E+00
-1.1892380E-02,1.461716E+00
-1.1892196E-02,1.462936E+00
-1.1892012E-02,1.465988E+00
-1.1891828E-02,1.469650E+00
-1.1891644E-02,1.469955E+00
-1.1891460E-02,1.473160E+00
-1.1891276E-02,1.473770E+00
-1.1891092E-02,1.477280E+00
-1.1890908E-02,1.479416E+00
-1.1890724E-02,1.483078E+00
-1.1890540E-02,1.482773E+00
-1.1890356E-02,1.485977E+00
-1.1890172E-02,1.489792E+00
-1.1889988E-02,1.491776E+00
-1.1889804E-02,1.493301E+00
-1.1889620E-02,1.497269E+00
-1.1889436E-02,1.499252E+00
-1.1889252E-02,1.500626E+00
-1.1889068E-02,1.501999E+00
-1.1888884E-02,1.504898E+00
-1.1888700E-02,1.506577E+00
-1.1888516E-02,1.510239E+00
-1.1888332E-02,1.511307E+00
-1.1888148E-02,1.515274E+00
-1.1887964E-02,1.519547E+00
-1.1887780E-02,1.520157E+00
-1.1887596E-02,1.521683E+00
-1.1887412E-02,1.523056E+00
-1.1887228E-02,1.525955E+00
-1.1887044E-02,1.528854E+00
-1.1886860E-02,1.530991E+00
-1.1886676E-02,1.532059E+00
-1.1886492E-02,1.534653E+00
-1.1886308E-02,1.536942E+00
-1.1886124E-02,1.539383E+00
-1.1885940E-02,1.540756E+00
-1.1885756E-02,1.541214E+00
-1.1885572E-02,1.546860E+00
-1.1885388E-02,1.549454E+00
-1.1885204E-02,1.549606E+00
-1.1885020E-02,1.553574E+00
-1.1884836E-02,1.556320E+00
-1.1884652E-02,1.558151E+00
-1.1884468E-02,1.557388E+00
-1.1884284E-02,1.561661E+00
-1.1884100E-02,1.562424E+00
-1.1883916E-02,1.567917E+00
-1.1883732E-02,1.567917E+00
-1.1883548E-02,1.570206E+00
-1.1883364E-02,1.573257E+00
-1.1883180E-02,1.572952E+00
-1.1882996E-02,1.576462E+00
-1.1882812E-02,1.579208E+00
-1.1882628E-02,1.580582E+00
-1.1882444E-02,1.583176E+00
-1.1882260E-02,1.583633E+00
-1.1882076E-02,1.587906E+00
-1.1881892E-02,1.590500E+00
-1.1881708E-02,1.589737E+00
-1.1881524E-02,1.593552E+00
-1.1881340E-02,1.594925E+00
-1.1881156E-02,1.599350E+00
-1.1880972E-02,1.599960E+00
-1.1880788E-02,1.602554E+00
-1.1880604E-02,1.605148E+00
-1.1880420E-02,1.608505E+00
-1.1880236E-02,1.608047E+00
-1.1880052E-02,1.611710E+00
-1.1879868E-02,1.614609E+00
-1.1879684E-02,1.615219E+00
-1.1879500E-02,1.618271E+00
-1.1879316E-02,1.619186E+00
-1.1879132E-02,1.623611E+00
-1.1878948E-02,1.624374E+00
-1.1878764E-02,1.626816E+00
-1.1878580E-02,1.628799E+00
-1.1878396E-02,1.633072E+00
-1.1878212E-02,1.633377E+00
-1.1878028E-02,1.636734E+00
-1.1877844E-02,1.637802E+00
